ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
482-92-7203|4843574951597751|Susan|Thompson|F|3856 Thomas St|CityThompson|IN|22373|38.3274|-87.1342|10897|Accountant|1999-08-06|912387829533|young_adults_female_urban.json|0ec6a474284191172b21a448351bea78|2023-07-15|11:36:07|1689372000|food_dining|189.89|0|fraud_Nike|40.171937|-85.413431
559-21-8556|4370798024232580|Michael|Young|M|2570 Brown St|CityAnderson|OR|46827|44.6984|-122.3898|432928|Teacher|2001-09-13|934088489962|young_adults_male_urban.json|abd49382cd53fbd0e956cc3a2f7eb948|2023-11-30|11:52:09|1701298800|grocery_pos|208.17|0|fraud_CVS|41.841733|-124.996421
842-36-4908|4557032152341277|Jessica|Martin|F|2152 Brown St|CitySmith|OR|72328|45.7202|-118.6453|320026|Driver|2002-12-21|805508388194|young_adults_female_urban.json|e74613a135ef0c0ca78be7a492337cf3|2023-02-02|23:20:59|1675292400|gas_transport|284.13|0|fraud_Shell|43.112594|-120.648069
401-83-3254|4232640741966433|William|Taylor|M|5386 Taylor St|CityMoore|MN|16768|48.3515|-93.34|269128|Accountant|1995-12-02|577692631538|adults_2550_male_urban.json|93b59ef0cd569e6ec2e02a0627de00d0|2023-04-11|21:48:29|1681164000|misc_net|167.67|0|fraud_Marriott|47.898282|-92.885769
794-49-3560|4826291924194357|John|Johnson|M|3141 Taylor St|CitySmith|OR|74300|44.8068|-118.6132|157210|Sales Rep|1999-02-17|906544694654|young_adults_male_urban.json|63724d37544a39c26bafe88b8e149f12|2023-07-29|23:03:33|1690581600|misc_net|251.4|0|fraud_Kroger|45.169779|-117.891277
298-61-1852|4084444321139889|Michael|Wilson|M|2681 Brown St|CityJackson|PA|40761|41.1747|-78.7148|379254|Clerk|1967-12-30|474226661953|adults_50up_male_rural.json|edd01d75f08726be081c106b52ccd463|2023-04-02|09:27:38|1680386400|gas_transport|284.15|0|fraud_Amazon|41.684497|-81.323008
602-66-6087|4559207160745413|James|Williams|M|2200 Williams St|CitySmith|TN|86969|37.4451|-84.9939|155960|Analyst|2002-04-27|373555088256|young_adults_male_urban.json|e86e72d88d980ffb3656214c8654b801|2023-09-02|01:59:06|1693605600|personal_care|42.21|0|fraud_HomeDepot|36.640161|-87.643365
262-78-6890|4858597919911381|William|Brown|M|4731 Martin St|CityHarris|IN|56063|41.8019|-87.4234|411648|Analyst|1986-12-21|727631226152|adults_2550_male_rural.json|c97475b6e19007d4395fc5495804321c|2023-08-21|01:08:04|1692568800|kids_pets|21.45|0|fraud_HomeDepot|40.432611|-86.965252
384-79-3349|4449361502143788|Charles|Harris|M|7441 Garcia St|CityAllen|IN|26071|39.585|-87.9767|317665|Clerk|1993-12-02|345017405660|adults_2550_male_urban.json|018414a811da2d05db4e9de6a8fcbdf4|2023-05-30|19:49:21|1685397600|travel|85.67|0|fraud_Nike|37.345888|-86.138606
502-51-6708|4017836783976987|Linda|Johnson|F|6018 Williams St|CityThompson|TN|32603|37.131|-87.4949|144520|Accountant|2003-09-16|198229597089|young_adults_female_urban.json|c876ec90d734b014ebf89888df6a4489|2023-10-30|08:25:11|1698620400|grocery_net|188.46|0|fraud_Marriott|35.591956|-87.530865
