ssn,cc_num,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,profile,trans_num,trans_date,trans_time,unix_time,category,amt,merchant,merch_lat,merch_long
481-22-9101,4391287419283745,Ava,Martin,F,14 Cedar Lane,Asheville,NC,28801,35.5951,-82.5515,94400,Teacher,1989-04-12,910238471920,adults_2550_female_urban.json,tx000001,2025-02-03,23:41:12,1738626072,shopping_net,987.42,Hudson Digital Goods,35.8123,-82.7431
229-61-3410,4917382091746201,Liam,Turner,M,82 Pine Street,Boise,ID,83702,43.6150,-116.2023,235684,Engineer,1978-09-03,239018472019,adults_2550_male_urban.json,tx000002,2025-02-04,13:18:44,1738675124,grocery_pos,46.18,Green Basket Market,43.6082,-116.2152
710-84-5529,4023849203847192,Mia,Clark,F,9 Lakeview Drive,Burlington,VT,05401,44.4759,-73.2121,44743,Nurse,1966-01-28,918203847120,adults_50up_female_urban.json,tx000003,2025-02-05,01:26:09,1738718769,misc_net,742.90,Northline Online,44.6401,-73.0054
535-02-1187,4539023847102938,Noah,Evans,M,201 Maple Road,Fargo,ND,58102,46.8772,-96.7898,125990,Accountant,1994-07-17,203948172039,young_adults_male_urban.json,tx000004,2025-02-06,09:05:33,1738832733,gas_transport,38.65,Plains Fuel Stop,46.8600,-96.8232
188-43-7621,4719203847561029,Sophia,Hill,F,77 Meadow Court,Taos,NM,87571,36.4072,-105.5731,6390,Artist,1958-11-06,102938475610,adults_50up_female_rural.json,tx000005,2025-02-07,22:58:11,1738969091,shopping_net,1215.73,SilverPeak Electronics,36.7012,-105.1215
904-12-3388,4018374650192837,Ethan,Moore,M,31 Oak Avenue,Reno,NV,89501,39.5296,-119.8138,264165,Mechanic,1983-05-23,873645019283,adults_2550_male_urban.json,tx000006,2025-02-08,16:44:02,1739033042,home,112.09,West Home Supply,39.4832,-119.7768
317-55-9082,4682039481726401,Olivia,Young,F,508 River Road,Helena,MT,59601,46.5891,-112.0391,33315,Analyst,1998-03-02,564738291023,young_adults_female_urban.json,tx000007,2025-02-09,00:19:54,1739060394,shopping_net,653.88,MetroStyle Online,46.9103,-111.8120
662-77-0134,4210394857612039,James,Walker,M,12 Birch Way,Athens,GA,30601,33.9519,-83.3576,127315,Chef,1972-10-19,665544332211,adults_2550_male_urban.json,tx000008,2025-02-10,11:32:27,1739187147,food_dining,28.77,Campus Cafe,33.9440,-83.3712
814-20-4960,4920183746501928,Isabella,Allen,F,44 Sunset Blvd,Flagstaff,AZ,86001,35.1983,-111.6513,76831,Pharmacist,1987-12-14,928374650192,adults_2550_female_urban.json,tx000009,2025-02-11,02:07:18,1739239638,misc_net,534.21,Desert Web Deals,35.0051,-111.9020
275-91-8843,4582910374650182,Benjamin,King,M,5 Forest Trail,Duluth,MN,55802,46.7867,-92.1005,86551,Carpenter,1961-02-21,112233445566,adults_50up_male_rural.json,tx000010,2025-02-12,14:55:40,1739372140,grocery_pos,71.46,Lakeside Grocery,46.8022,-92.0888
