ssn|cc_num|first|last|gender|street|city|state|zip|population|job|acct_num|trans_num|date|time|unix_time|category|amount|is_fraud|merchant|merchant_lat|merchant_lon
775-14-1698|4334130040501545|Mary|Thomas|F|3308 Wilson St|CityHarris|NC|61027|126131|Driver|255695000672|83080e12f8c031e134e2e796c39805dd|2023-10-25|12:23:57|1698184800|home|222.64|0|fraud_BP|39.641027|-80.819077
844-13-3687|4474132675090169|Sarah|Davis|F|7221 Johnson St|CityTaylor|TN|68838|110138|Teacher|303033581383|11fd18555a953518b61259c6c9657b6b|2023-08-14|00:03:05|1691964000|home|144.75|0|fraud_Amazon|37.599984|-83.340835
844-98-9621|4839069730881712|Jessica|Thomas|F|5449 White St|CityTaylor|GA|94971|353273|Technician|991289497892|349c3205f8d1bfbd86158cb73689a6d5|2023-06-11|13:50:49|1686434400|shopping_pos|284.2|0|fraud_McDonalds|32.586482|-80.859666
514-78-4819|4687665049166091|Jessica|Garcia|F|2684 Williams St|CityAnderson|PA|27417|248137|Manager|734865728934|dadf9c0c8b1be059d3239c6565618f6b|2023-07-25|16:24:15|1690236000|food_dining|103.47|0|fraud_Walmart|40.284809|-77.158084
713-56-3418|4314450691744201|Karen|Anderson|F|5241 Smith St|CityJackson|NC|60562|465855|Sales Rep|853644126109|ca87ae21be87b243953bf4b6d9430762|2023-10-10|14:26:55|1696888800|grocery_net|32.22|0|fraud_PetSmart|36.338514|-81.019603
844-13-3687|4474132675090169|Sarah|Davis|F|7221 Johnson St|CityTaylor|TN|68838|110138|Teacher|303033581383|7d6bb39ea0f1fce0eeac134ec29a0e20|2023-07-06|02:52:39|1688594400|shopping_net|121.97|0|fraud_HomeDepot|36.31664|-87.686087
844-98-9621|4839069730881712|Jessica|Thomas|F|5449 White St|CityTaylor|GA|94971|353273|Technician|991289497892|b11d459a056739f6814a1ee1f5cc4aac|2023-06-30|22:16:21|1688076000|grocery_net|44.97|0|fraud_Target|29.058196|-82.562601
307-46-8560|4588306248409007|Karen|Allen|F|6081 Johnson St|CityJackson|KS|66707|146962|Sales Rep|385336820185|a8175ba92aa2ea1e25b98a7421bc8b54|2023-12-17|15:49:40|1702767600|misc_net|125.13|0|fraud_HomeDepot|40.00099|-94.534182
211-34-1899|4980204784898680|Thomas|Davis|M|5821 Miller St|CityMartin|VA|13545|47970|Clerk|650389245378|083c5568c5d1411cb236bdb92638934c|2023-07-20|03:03:51|1689804000|shopping_net|264.48|0|fraud_Shell|35.275968|-77.476818
468-53-1374|4072059147072943|Joseph|Thomas|M|1966 Thomas St|CityAllen|TX|81761|90963|Driver|857793889934|ef689afa4d79b0ca7873808a79fe2c90|2023-12-17|20:14:03|1702767600|grocery_pos|3.68|0|fraud_Uber|31.481612|-95.907276
711-37-1598|4014682843560070|Jennifer|Anderson|F|8508 Thomas St|CityAllen|CA|62991|85324|Driver|844456082067|870555b1dc01ff313b35c6db671d3707|2023-06-30|05:15:59|1688076000|shopping_net|122.19|0|fraud_McDonalds|38.206941|-120.273914
667-20-5574|4958429180900971|David|Garcia|M|7898 White St|CityBrown|FL|97617|27992|Engineer|995918025324|2eb5589303c273326201270076b0660f|2023-11-11|10:16:30|1699657200|misc_pos|235.39|0|fraud_Uber|25.43693|-83.998213
521-73-4703|4091721005824198|William|Smith|M|3912 Wilson St|CityMartin|CA|89903|258853|Sales Rep|265179905992|6351e9c4ffcf7805f506191a087385ec|2023-09-09|20:00:20|1694210400|misc_net|289.48|0|fraud_Kroger|38.836801|-118.535894
307-46-8560|4588306248409007|Karen|Allen|F|6081 Johnson St|CityJackson|KS|66707|146962|Sales Rep|385336820185|ef049f14d165ae2bbd8e563c742b9b67|2023-09-28|04:48:41|1695852000|kids_pets|263.05|0|fraud_Lyft|37.976071|-97.158189
765-75-6024|4921057197295190|Barbara|White|F|6983 Wilson St|CityThompson|WA|81923|146697|Driver|553269632664|d1ba59c0907daf03ce547d3bfe2f143d|2023-07-12|15:36:21|1689112800|grocery_net|201.16|0|fraud_Walmart|48.865951|-124.236448
727-44-9329|4010727644975676|Patricia|Johnson|F|1268 Thompson St|CityMiller|FL|15996|149082|Accountant|288151892741|c9c8321d10f3e173d9acd5971d9d387b|2023-09-23|05:23:38|1695420000|personal_care|192.37|0|fraud_DeltaAirlines|27.317093|-81.462771
810-60-5018|4946024453558094|Michael|Wilson|M|6485 White St|CityTaylor|NY|68531|348411|Technician|371208369262|3cea5c183d03745b33eb7bd5396ef790|2023-12-10|17:52:07|1702162800|gas_transport|260.07|0|fraud_BestBuy|39.984966|-79.801735
414-26-3196|4044649088974278|Karen|Taylor|F|361 Brown St|CityDavis|OH|54566|484179|Teacher|309567056449|21b48a0b465bb414612cbffe5247885d|2023-12-08|00:16:22|1701990000|travel|81.84|0|fraud_Walmart|39.858623|-84.808038
266-60-4157|4702002181110370|Michael|White|M|48 Taylor St|CityAllen|KS|71451|478530|Driver|683153633980|55dbe80a20f0fc5f58734ed9c74a7b50|2023-09-24|11:00:40|1695506400|misc_net|216.51|0|fraud_Uber|39.385378|-99.170906
729-56-5200|4165906867876533|John|Allen|M|5681 Thomas St|CityYoung|FL|96869|374508|Nurse|852673861494|ec32cc8d8420aee7aed96822af8657c7|2023-09-28|12:27:12|1695852000|grocery_pos|266.13|0|fraud_BP|29.088903|-85.13705
260-85-5038|4734621091935160|David|Allen|M|8114 Martin St|CityYoung|IN|17708|434747|Engineer|273737341781|920737945912cc46107cd745af603059|2023-06-13|14:08:35|1686607200|travel|264.91|0|fraud_Shell|41.302514|-86.593248
775-14-1698|4334130040501545|Mary|Thomas|F|3308 Wilson St|CityHarris|NC|61027|126131|Driver|255695000672|24f13318bdad04f1474803f2e2faa20c|2023-08-28|15:16:27|1693173600|personal_care|221.69|0|fraud_Amazon|38.016011|-79.163387
334-35-2749|4586445173014795|Richard|Young|M|5362 Johnson St|CitySmith|MN|75600|387278|Analyst|543960978265|a22823c6201146f9e052718e1d7b8d76|2023-07-27|08:41:21|1690408800|grocery_net|173.65|0|fraud_Starbucks|45.093287|-95.815187
765-75-6024|4921057197295190|Barbara|White|F|6983 Wilson St|CityThompson|WA|81923|146697|Driver|553269632664|78d39ed2fd2430f6d10dcfa8c1872958|2023-12-14|06:10:00|1702508400|personal_care|45.34|0|fraud_CVS|51.097479|-118.466611
844-98-9621|4839069730881712|Jessica|Thomas|F|5449 White St|CityTaylor|GA|94971|353273|Technician|991289497892|9bcb5b5f4293fb36425c298f06894363|2023-10-20|05:36:44|1697752800|shopping_net|60.31|0|fraud_HomeDepot|32.630957|-84.522274
337-48-5766|4360657334450254|Karen|Moore|F|6563 Brown St|CityAllen|MN|45453|107078|Clerk|561465320145|38e6db54865ae92359215408e8bdde7a|2023-12-05|20:46:48|1701730800|gas_transport|242.55|0|fraud_DeltaAirlines|48.883201|-94.921819
266-60-4157|4702002181110370|Michael|White|M|48 Taylor St|CityAllen|KS|71451|478530|Driver|683153633980|324812e6c67f723a9f44abe1eb5d5ea1|2023-09-20|14:30:12|1695160800|gas_transport|57.9|0|fraud_Netflix|42.233691|-101.656673
784-77-1371|4469326934190400|Mary|Harris|F|6690 Thompson St|CityTaylor|TN|15732|262001|Clerk|235605676431|e35af08e83d2dde657f39599585d9b87|2023-10-20|09:56:08|1697752800|misc_pos|41.65|0|fraud_Spotify|37.988669|-84.952404
775-14-1698|4334130040501545|Mary|Thomas|F|3308 Wilson St|CityHarris|NC|61027|126131|Driver|255695000672|a7d217e8d5c53eab353450fb342273c5|2023-06-23|12:49:51|1687471200|home|153.46|0|fraud_CVS|34.569016|-81.901719
514-78-4819|4687665049166091|Jessica|Garcia|F|2684 Williams St|CityAnderson|PA|27417|248137|Manager|734865728934|689a70cd794ea3df5f72b5b918d78d77|2023-12-02|08:44:46|1701471600|misc_net|197.66|0|fraud_DeltaAirlines|40.675085|-74.66203
310-23-5154|4404034390740765|Karen|Garcia|F|8916 Anderson St|CityMoore|NC|69639|292996|Sales Rep|526751856533|9bf99a456eae68c65243db52e787e85b|2023-10-24|13:59:42|1698098400|entertainment|56.94|0|fraud_Starbucks|36.530673|-75.622975
260-85-5038|4734621091935160|David|Allen|M|8114 Martin St|CityYoung|IN|17708|434747|Engineer|273737341781|2a18168547a3431525a4cfa34551d21f|2023-11-29|00:10:56|1701212400|entertainment|719.02|1|fraud_Starbucks|36.663156|-82.130753
